Date,MSCI Emerging Markets
2018-04,266914.1251
2018-05,265884.7793
2018-06,255911.4655
2018-07,260018.9982
2018-08,254910.8169
2018-09,255285.8143
2018-10,238389.4864
2018-11,247334.6228
2018-12,239016.8196
2019-01,259102.9868
2019-02,261347.2209
2019-03,267838.0443
2019-04,273941.6159
2019-05,255677.5254
2019-06,266371.9262
2019-07,268743.3393
2019-08,258381.815
2019-09,266955.2406
2019-10,271629.8973
2019-11,275522.7021
2019-12,289613.9476
2020-01,280672.063
2020-02,267703.9755
2020-03,226972.9824
2020-04,249624.5831
2020-05,245720.7718
2020-06,262449.3615
2020-07,270439.1989
2020-08,274353.6632
2020-09,275367.7059
2020-10,281323.7972
2020-11,300124.8891
2020-12,314686.346
2021-01,328025.2335
2021-02,330961.2411
2021-03,337056.153
2021-04,335284.9169
2021-05,339791.1694
2021-06,349573.9906
2021-07,326060.942
2021-08,336310.3644
2021-09,330178.0385
2021-10,331593.0443
2021-11,326002.0298
2021-12,333361.9545
2022-01,332060.9913
2022-02,320938.5015
